的	de_dí_dì
馎	bó
馚	fēn_fén
馛	bó
馜	ní_nǐ
馝	bì
馞	bó_pò
馟	tú
馠	hān
馡	fēi
馢	jiān
馣	ān_yǎn
馤	ài
馦	xiān
馧	yūn_wò
馩	fén
馪	pīn
馫	xīn
馬	mǎ
馭	yù
馮	féng_píng
馯	hàn_hán_qián
馰	dí
馱	tuó_duò
馲	tuō_zhé
馳	chí
馴	xùn
馵	zhù
馶	zhī_shì
馷	pèi
馸	xìn_jìn
馹	rì
馺	sà
馻	yǔn
馼	wén
馽	zhí
馾	dǎn_dàn
馿	lú_lǘ
駀	yóu
駁	bó
駂	bǎo
駃	jué_kuài
駄	tuó_duò
駅	yì
駆	qū
駇	wén
駈	qū
駉	jiōng_jiǒng
駊	pǒ
駋	zhāo
駌	yuān
駍	pēng_péi
駎	zhòu
駏	jù
駐	zhù
駑	nú
駒	jū
駓	pī
駔	zǎng
駕	jià
駖	líng
駗	zhěn_zhēn
駘	tái_dài
駙	fù
駚	yǎng
駛	shǐ
駜	bì
駝	tuó
駞	tuó
駟	sì
駠	liú
駡	mà
駢	pián
駣	táo
駤	zhì
駥	róng
駦	téng
駧	dòng
駨	xún_xuān_xuàn_xūn
駩	quán_quān
駪	shēn
駫	jiōng
駬	ěr
駭	hài
駮	bó
駯	zhū
駰	yīn
駱	luò
駲	zhōu
駳	dàn
駴	hài_xiè
駵	liú
駶	jú
駷	sǒng
駸	qīn
駹	máng
駺	liáng_láng
駻	hàn
駼	tú
駽	xuān_xuàn
駾	tuì
駿	jùn
騀	ě
騁	chěng
騂	xīng
騃	sì
騄	lù
騅	zhuī
騆	zhōu
騇	shè
騈	pián
騉	kūn
騊	táo
騋	lái
騌	zōng
騍	kè
騎	qí
騏	qí
騐	yàn
騑	fēi
騒	sāo
験	yàn
騔	gé
騕	yǎo
騖	wù
騗	piàn
騘	cōng
騙	piàn
騚	qián
騛	fēi
騜	huáng
騝	qián
騞	huō
騟	yú
騠	tí
騡	quán
騢	xiá
騣	zōng
騤	kuí
騥	róu
騦	sī
騧	guā
騨	tuó
騩	guī_tuí
騪	sōu
騫	qiān
騬	chéng
騭	zhì
騮	liú
騯	péng_bǎng
騰	téng
騱	xí
騲	cǎo
騳	dú
騴	yàn
騵	yuán
騶	zōu
騷	sāo
騸	shàn
騹	qí_lí
騺	zhì
騻	shuāng
騼	lù
騽	xí
騾	luó
騿	zhāng
驀	mò
驁	ào
驂	cān
驃	piào
驄	cōng
驅	qū
驆	bì
驇	zhì
驈	yù
驉	xū
驊	huá
驋	bō
驌	sù
驍	xiāo
驎	lín
驏	zhàn_chǎn
驐	dūn
驑	liú
驒	tuó
驓	céng
驔	diàn_tán
驕	jiāo
驖	tiě
驗	yàn
驘	luó
驙	zhān
驚	jīng
驛	yì
驜	yè
驝	tuó_tuō
驞	pīn
驟	zhòu_zòu
驠	yàn
驡	lóng_zǎng
驢	lǘ
驣	téng
驤	xiāng
驥	jì
驦	shuāng
驧	jú
驨	xí
驩	huān
驪	lí
驫	biāo
驲	rì
骃	yīn
骉	biāo
骍	xīng
骎	qīn
骔	zōng
骕	sù
骙	kuí
骦	shuāng
骩	wěi
骪	wěi
骫	wěi
骬	yú
骭	gàn
骮	yì
骯	āng
骲	bào
骳	bèi_mó
骴	cī
骵	tǐ
骹	qiāo_xiāo_jiāo
骻	kuà
骽	tuǐ
骾	gěng
骿	pián
髃	yú
髄	suí_suǐ
髆	bó
髇	xiāo
髈	bǎng_pǎng_páng
髉	bó_jué
髊	cī_cuō
髍	mó
髎	liáo
髏	lóu
髐	xiāo
髒	zāng
體	tǐ_tī
髕	bìn
髖	kuān
髗	lú
髙	gāo
髚	qiào
髛	kāo
髜	qiǎo
髝	láo
髞	sào
髠	kūn
髢	dí
髣	fǎng
髤	xiū
髥	rán
髧	dàn
髨	kūn
髩	bìn
髪	fà
髬	pī
髮	fà_fǎ
髰	tì
髱	bào
髲	bì_pǒ_pì
髳	máo_méng
髴	fú_fèi
髵	ér
髶	èr_róng
髷	qū
髸	gōng
髺	kuò_yuè_guà
髼	péng
髽	zhuā
髾	shāo
髿	shā_suō
鬀	tì
鬁	lì
鬂	bìn
鬄	tì_dí
鬅	péng
鬆	sōng
鬇	zhēng
鬉	zōng
鬊	shùn
鬋	jiǎn_jiān
鬌	duǒ_chuí_tuǒ
鬍	hú
鬎	là
鬐	qí
鬑	lián
鬒	zhěn
鬔	péng
鬕	mà
鬖	sān
鬗	mán_màn
鬘	mán
鬙	sēng
鬚	xū
鬛	liè
鬜	qiān
鬝	qiān
鬞	nóng_náng_nàng
鬠	kuò_kuài
鬡	níng
鬢	bìn
鬤	ráng_níng
鬥	dòu
鬦	dòu
鬧	nào
鬨	hòng
鬩	xì
鬪	dòu
鬫	kàn
鬬	dòu
鬭	dòu
鬮	jiū
鬰	yù
鬱	yù
鬳	yàn
鬴	fǔ_lì
鬵	zèng_qián
鬶	guī
鬷	zōng
鬸	liù
鬹	guī_xié
鬺	shāng
鬽	mèi
鬾	jì_qí
鬿	qí
魀	gà
魆	xū_xù
魊	yù
魋	tuí
魌	qī
魎	liǎng
魐	gān
魒	piāo
魓	bì
魕	jī_jǐ
魖	xū
魗	chǒu_chóu
魘	yǎn
魙	zhān
魚	yú
魛	dāo
魜	rén
魝	jì_jié
魞	bā_bà
魟	hóng_gōng_hōng
魠	tuō
魡	diào_dí
魢	jǐ
魣	yú
魤	é_huà
魥	jì_qiè
魦	shā
魧	háng
魨	tún
魩	mò
魪	jiè
魫	shěn
魬	bǎn_fǎn
魭	yuán_wǎn
魮	pí_bǐ
魯	lǔ
魰	wén
魱	hú_hù
魲	lú
魳	zā_shī
魴	fáng
魵	fén
魶	nà
魷	yóu
魸	piàn
魹	mó
魺	hé_gě
魻	xiá_xiā
魼	qū_xié
魽	hān_hán
魾	pī_pí
魿	líng_lín
鮀	tuó
鮁	bà_bō
鮂	qiú
鮃	píng
鮄	fú
鮅	bì
鮆	cǐ_jì
鮇	wèi
鮈	jū_gǒu_qú
鮉	diāo
鮊	bó_bà
鮋	yóu_chóu
鮌	gǔn
鮍	pí
鮎	nián
鮏	xīng_zhēng
鮐	tái
鮑	bào
鮒	fù
鮓	zhǎ_zhà
鮔	jù
鮕	gū
鮖	shí
鮗	dōng
鮘	chou_dài
鮙	tǎ_tà
鮚	jié
鮛	shū
鮜	hòu
鮝	xiǎng_zhèn
鮞	ér
鮟	ān
鮠	wéi
鮡	zhào
鮢	zhū
鮣	yìn
鮤	liè
鮥	luò_gé
鮦	tóng
鮧	yí_tǐ
鮨	yì_qí
鮩	bìng_bì
鮪	wěi
鮫	jiāo
鮬	kū_kù
鮭	guī_xié_wā_kuí
鮮	xiān_xiǎn
鮯	gé
鮰	huí
鮱	lǎo
鮲	fú
鮳	kào
鮴	xiū
鮵	tuō_duó
鮶	jūn
鮷	tí
鮸	miǎn
鮹	shāo
鮺	zhǎ
鮻	suō
鮼	qīn
鮽	yú
鮾	něi
鮿	zhé
鯀	gǔn
鯁	gěng
鯂	sū
鯃	wú
鯄	qiú
鯅	shān_shěn
鯆	pū_bū_fǔ
鯇	huàn
鯈	tiáo_chóu
鯉	lǐ
鯊	shā
鯋	shā
鯌	kào
鯍	méng
鯎	chéng
鯏	lí
鯐	zǒu
鯑	xī
鯒	yǒng
鯓	shēn_ní
鯔	zī
鯕	qí
鯖	qīng_zhēng
鯗	xiǎng
鯘	něi
鯙	chún
鯚	jì
鯛	diāo
鯜	qiè
鯝	gù
鯞	zhǒu
鯟	dōng
鯠	lái
鯡	fēi
鯢	ní
鯣	yì_sī
鯤	kūn
鯥	lù
鯦	jiù
鯧	chāng
鯨	jīng
鯩	lún
鯪	líng
鯫	zōu
鯬	lí
鯭	měng
鯮	zōng
鯯	zhì
鯰	nián
鯱	hǔ
鯲	yú
鯳	dǐ
鯴	shī
鯵	shēn
鯶	huàn_hǔn
鯷	tí
鯸	hóu
鯹	xīng
鯺	zhū
鯻	là
鯼	zōng
鯽	jì
鯾	biān
鯿	biān
鰀	huàn
鰁	quán
鰂	zéi_zé
鰃	wēi
鰄	wēi
鰅	yú
鰆	chūn
鰇	róu
鰈	dié
鰉	huáng
鰊	liàn
鰋	yǎn
鰌	qiū
鰍	qiū
鰎	jiǎn
鰏	bī
鰐	è
鰑	yáng
鰒	fù
鰓	sāi_xǐ
鰔	jiān_gǎn_xián
鰕	xiā
鰖	tuǒ_wěi
鰗	hú
鰘	shì
鰙	ruò
鰚	xuān
鰛	wēn
鰜	jiān
鰝	hào
鰞	wū
鰟	páng
鰠	sāo
鰡	liú
鰢	mǎ
鰣	shí
鰤	shī
鰥	guān
鰦	zī
鰧	téng
鰨	tǎ
鰩	yáo
鰪	è_gé
鰫	yóng
鰬	qián
鰭	qí
鰮	wēn
鰯	ruò
鰰	shén
鰱	lián
鰲	áo
鰳	lè
鰴	huī
鰵	mǐn
鰶	jì
鰷	tiáo
鰸	qū
鰹	jiān
鰺	shēn_cān_sāo
鰻	mán
鰼	xí
鰽	qiú
鰾	piào_biào
鰿	jì
鱀	jì
鱁	zhú
鱂	jiāng
鱃	xiū_qiū
鱄	zhuān
鱅	yōng_yóng
鱆	zhāng
鱇	kāng
鱈	xuě
鱉	biē
鱊	yù
鱋	qū
鱌	xiàng
鱍	bō
鱎	jiǎo
鱏	xún
鱐	sù
鱑	huáng
鱒	zūn
鱓	shàn
鱔	shàn
鱕	fān
鱖	guì
鱗	lín
鱘	xún
鱙	yáo_miáo
鱚	xǐ_xī
鱛	zēng
鱜	xiāng
鱝	fèn
鱞	guān
鱟	hòu
鱠	kuài
鱡	zéi
鱢	sāo
鱣	zhān
鱤	gǎn
鱥	guì
鱦	yìng_měng_shéng
鱧	lǐ
鱨	cháng
鱩	léi
鱪	shǔ
鱫	ài
鱬	rú
鱭	jì
鱮	xù
鱯	hù
鱰	shǔ
鱱	lǐ_lì
鱲	liè
鱳	lè_lì_lù_luò
鱴	miè
鱵	zhēn
鱶	xiǎng
鱷	è
鱸	lú
鱹	guàn
鱺	lí
鱻	xiān
鱽	dāo
鱾	jǐ
鲀	tún
鲃	bā_bà
鲄	hé_gě
鲉	yóu
鲊	zhǎ_zhà
鲌	bó_bà
鲏	pí
鲓	kào_kǎo
鲖	tóng
鲗	zéi
鲘	hòu
鲙	kuài
鲝	zhǎ
鲪	jūn
鲬	yǒng
鲯	qí
鲹	shēn
鲾	bī
鲿	cháng
鳀	tí
鳁	wēn
鳂	wēi
鳈	quán
鳉	jiāng
鳑	páng
鳒	jiān
鳚	wèi
鳛	xí
鳠	hù
鳡	gǎn
鳣	zhān_shàn
鳤	guǎn
鳥	niǎo_diǎo
鳦	yǐ
鳧	fú
鳨	lì
鳩	jiū
鳪	bú
鳫	yàn
鳬	fú_fǔ
鳭	diāo_zhāo
鳮	jī
鳯	fèng
鳰	rù
鳱	gān_hàn_yàn
鳲	shī
鳳	fèng
鳴	míng
鳵	bǎo
鳶	yuān
鳷	zhī
鳸	hù
鳹	qín
鳺	fū_guī
鳻	bān_fén_fēn
鳼	wén
鳽	jiān_qiān_zhān_zhàn
鳾	shī
鳿	yù
鴀	fǒu
鴁	yāo
鴂	jué
鴃	jué
鴄	pǐ_pī
鴅	huān
鴆	zhèn
鴇	bǎo
鴈	yàn
鴉	yā
鴊	zhèng
鴋	fāng_fǎng
鴌	fèng
鴍	wén
鴎	ōu
鴏	dài
鴐	jiā_gē
鴑	rú
鴒	líng
鴓	miè_bì
鴔	fú
鴕	tuó
鴖	mín_wén
鴗	lì
鴘	biǎn
鴙	zhì
鴚	gē
鴛	yuān
鴜	cí
鴝	qú
鴞	xiāo
鴟	chī
鴠	dàn
鴡	jū
鴢	yāo_yòu
鴣	gū
鴤	zhōng_dàn_dōng
鴥	yù
鴦	yāng
鴧	yù_ròng
鴨	yā
鴩	dié_hú_tiě
鴪	yù
鴫	tián
鴬	yīng
鴭	duī
鴮	wū
鴯	ér
鴰	guā
鴱	ài
鴲	zhī
鴳	yàn
鴴	héng
鴵	xiāo
鴶	jiá
鴷	liè
鴸	zhū
鴹	yáng_xiáng
鴺	yí_tí
鴻	hóng
鴼	lù_luò
鴽	rú
鴾	móu
鴿	gē
鵀	rén_rèn
鵁	jiāo
鵂	xiū
鵃	zhōu_diǎo
鵄	chī_zhī
鵅	luò_gé
鵆	héng
鵇	nián
鵈	ě
鵉	luán
鵊	jiá
鵋	jì
鵌	tú
鵍	huān_guàn_juān
鵎	tuǒ
鵏	bū_bǔ_pū_pú
鵐	wú
鵑	jiān_juān
鵒	yù
鵓	bó
鵔	jùn
鵕	jùn_xùn
鵖	bī
鵗	xī
鵘	jùn
鵙	jú
鵚	tū
鵛	jìng_jīng
鵜	tí
鵝	é
鵞	é
鵟	kuáng
鵠	hú_gǔ
鵡	wǔ
鵢	shēn
鵣	lài_chì
鵤	zān
鵥	pàn
鵦	lù
鵧	pí
鵨	shū
鵩	fú
鵪	ān
鵫	zhuó_zhào
鵬	péng
鵭	qín
鵮	qiān
鵯	bēi
鵰	diāo
鵱	lù
鵲	què
鵳	jiān
鵴	jú
鵵	tù
鵶	yā
鵷	yuān
鵸	qí
鵹	lí
鵺	yè
鵻	zhuī
鵼	kōng
鵽	duò
鵾	kūn
鵿	shēng
鶀	qí
鶁	jīng
鶂	yì
鶃	yì
鶄	jīng_qīng
鶅	zī
鶆	lái
鶇	dōng
鶈	qī
鶉	chún
鶊	gēng
鶋	jū
鶌	qū_jué
鶍	yì
鶎	zūn
鶏	jī
鶐	shù
鶑	yīng
鶒	chì
鶓	miáo
鶔	róu
鶕	ān
鶖	qiū
鶗	tí_chí
鶘	hú
鶙	tí_chí
鶚	è
鶛	jiē_jiè
鶜	máo
鶝	fú_bì
鶞	chūn
鶟	tú
鶠	yǎn
鶡	hé_jiè
鶢	yuán
鶣	piān_biǎn
鶤	kūn
鶥	méi
鶦	hú
鶧	yīng
鶨	chuàn_zhì
鶩	wù
鶪	jú
鶫	dōng
鶬	cāng_qiāng
鶭	fǎng
鶮	hè_hú
鶯	yīng
鶰	yuán
鶱	xiān_xuān
鶲	wēng
鶳	shī
鶴	hè
鶵	chú
鶶	táng
鶷	xiá
鶸	ruò
鶹	liú
鶺	jī_jí
鶻	gǔ_hú
鶼	jiān
鶽	sǔn_xùn
鶾	hàn
鶿	cí_zī
鷀	cí
鷁	yì
鷂	yào
鷃	yàn
鷄	jī
鷅	lì
鷆	tián
鷇	kòu
鷈	tī
鷉	tī_sī
鷊	yì_nì
鷋	tú
鷌	mǎ
鷍	xiāo_jiāo
鷎	gāo
鷏	tián_zhēn
鷐	chén
鷑	jì_jí
鷒	tuán
鷓	zhè
鷔	áo
鷕	yǎo
鷖	yī
鷗	ōu
鷘	chì
鷙	zhì
鷚	liù
鷛	yōng
鷜	lóu_lǚ_lǘ
鷝	bì
鷞	shuāng
鷟	zhuó
鷠	yú
鷡	wú
鷢	jué
鷣	yín
鷤	tí_tán
鷥	sī
鷦	jiāo
鷧	yì
鷨	huá
鷩	bì
鷪	yīng
鷫	sù
鷬	huáng
鷭	fán
鷮	jiāo
鷯	liáo
鷰	yàn
鷱	gāo
鷲	jiù
鷳	xián
鷴	xián
鷵	tú
鷶	mǎi
鷷	zūn
鷸	yù
鷹	yīng
鷺	lù
鷻	tuán
鷼	xián
鷽	xué
鷾	yì
鷿	pì
鸀	zhǔ_chǔ_chù_zhú
鸁	luó
鸂	xī
鸃	yì_yí
鸄	jī
鸅	zé
鸆	yú
鸇	zhān
鸈	yè
鸉	yáng
鸊	pì_bì
鸋	níng
鸌	hù
鸍	mí
鸎	yīng
鸏	méng
鸐	dí
鸑	yuè
鸒	yù_yú
鸓	lěi
鸔	bǔ_bào
鸕	lú
鸖	hè
鸗	lóng
鸘	shuāng
鸙	yuè
鸚	yīng
鸛	guàn
鸜	qú
鸝	lí
鸞	luán
鸤	shī
鸧	cāng
鸮	xiāo
鸰	líng
鸴	xué
鸻	héng
鸼	zhōu
鹀	wú
鹍	kūn
鹐	qiān
鹒	gēng
鹓	yuān
鹔	sù
鹖	hé
鹙	qiū
鹝	yì
鹟	wēng
鹠	liú
鹡	jī_jí
鹢	yì
鹥	yī
鹮	huán
鹯	zhān
鹲	méng
鹴	shuāng
鹵	lǔ
鹶	jīn
鹷	líng
鹸	jiǎn
鹹	xián
鹺	cuó
鹻	jiǎn
鹼	jiǎn
鹽	yán
麀	yōu
麁	cū
麃	páo_biāo
麄	cū
麅	páo
麆	zhù_cū
麉	jiān
麊	mí
麌	yǔ_wú
麍	liú
麎	chén
麏	jūn
麐	lín
麑	ní
麔	jiù
麕	jūn
麖	jīng
麗	lí_lì
麘	xiāng
麙	xián_yán
麚	jiā
麛	mí
麜	lì
麞	zhāng
麠	jīng
麡	qí
麢	líng
麣	yán
麤	cū
麥	mài
麧	hé
麨	chǎo
麩	fū
麪	miàn
麫	miàn_miǎn
麬	fū
麭	pào
麮	qù
麯	qū
麰	móu
麱	fū
麲	xiàn_yàn
麳	lái
麵	miàn
麶	chi
麷	fēng
麹	qū
麺	miàn
麼	mó_me_má
麿	mí_mǒ
黀	zōu
黁	nún
黂	fén
黃	huáng
黅	jīn
黆	guāng
黇	tiān
黈	tǒu
黊	huà
黋	kuàng
黌	hóng
黐	chī
黒	hēi
黓	yì
黕	dǎn_zhěn
黖	xì
黗	tún_tūn
黙	mò
黚	qián_jiān
點	diǎn
黡	yǎn
黣	měi
黤	yǎn
黦	yuè_yè
黨	dǎng
黫	yān
黬	yǎn_jiān_yán
黭	yǎn
黮	dàn_shèn_tán
黰	zhěn_yān
黱	dài
黲	cǎn
黳	yī_wā
黴	méi
黵	dǎn_zhǎn
黶	yǎn
黷	dú
黸	lú
黺	fěn
黽	mǐn_miǎn_měng
黿	yuán
鼀	cù
鼁	qù
鼂	cháo_zhāo
鼃	wā
鼄	zhū
鼅	zhī
鼆	měng_méng
鼇	áo
鼈	biē
鼉	tuó
鼊	bì
鼌	cháo_zhāo
鼏	mì
鼑	dǐng
鼒	zī
鼔	gǔ
鼕	dōng
鼖	fén
鼘	yuān
鼚	chāng
鼛	gāo
鼜	cào_qì
鼝	yuān
鼞	tāng
鼟	tēng
鼡	shǔ
鼣	fèi
鼤	wén_wèn
鼥	bá_fèi
鼦	diāo
鼧	tuó
鼨	zhōng
鼩	qú
鼪	shēng
鼫	shí
鼭	shí
鼮	tíng
鼰	jú_niàn
鼱	jīng
鼲	hún
鼳	jú_xí
鼴	yǎn
鼵	tū
鼶	sī
鼸	xiàn
鼺	léi
鼼	yào_yǎo
鼿	wù_huī
齀	wù
齁	hōu
齂	xiè
齃	è_hè
齅	xiù
齆	wèng
齇	zhā
齈	nòng_nóng
齉	nàng
齊	qí_zhāi
齋	zhāi
齌	jì
齍	zī_jì
齎	jí_jī
齏	jī
齒	chǐ
齓	chèn
齔	chèn
齕	hé
齖	yá_yà
齗	yīn_kěn
齘	xiè
齙	bāo
齚	zé_cuò
齛	xiè_shì
齜	zī
齝	chī
齞	yàn_niàn
齟	jǔ
齠	tiáo
齡	líng
齢	líng
齣	chū
齤	quán
齥	xiè
齦	yín_kěn
齧	niè
齨	jiù
齩	yǎo
齪	chuò
齫	yǔn_kǔn
齬	yǔ
齭	chǔ
齮	yǐ
齯	ní
齰	zé_cuò
齱	zōu
齲	qǔ
齳	yǔn
齴	yǎn
齵	yú
齶	è
齷	wò
齸	yì
齹	cī_cuó
齺	zōu
齻	diān
齼	chǔ
齽	jìn
齾	yà
龁	hé
龂	yín_kěn
龍	lóng_lǒng
龎	páng
龏	gōng_wò
龐	páng
龑	yǎn
龒	lóng
龓	lóng_lǒng
龔	gōng
龕	kān
龖	dá
龗	líng
龘	dá
龜	guī_jūn_qiū
龝	qiū
龞	biē
龡	chuī_chuì
龢	hé
龣	jiǎo_jué
龤	xié
龥	yù
﨤	jí
﨩	dǎo
	zuǒ
㑳	zhòu
㑇	zhòu
㖞	wāi
㘚	hǎn
㘎	hǎn_hàn
㥮	zhòu_chǎo
㤘	chù_cù_zhòu
㧏	gāng
㧟	kuǎi
㩳	sǒng
㧐	sǒng
㭎	gāng
㱮	kuài_kuì
㳠	tà
	pěng
䁖	lōu
䅟	cǎn
䌷	chōu_chóu
䎱	bēi_bà
䎬	bēi_bà
䏝	chún_zhuǎn_zhuān
䓖	qióng
䙡	huì_kuì
䙌	huì_kuì
䜣	xī_xīn_yín
䜩	yàn
䝼	qíng_jìng
䞍	qíng
䥇	shàn
䥺	yé
䥽	pō
䦂	shàn
䦃	zhuō
䦅	shàn_zhǎn
䦆	jué
䦟	chuài_wěn
䦛	zhèng_zhì
䦷	chuài_wěn
䦶	zhèng
䲣	yú
䲟	yìn
䲠	chūn
䲡	qiū
䱷	yú
䲢	téng
䴓	shī
䴔	jiāo
䴕	liè
䴖	jīng
䴗	jú
䴘	tī
䴙	pì
䶮	yǎn
㐀	qiū
㐁	tiǎn_tiàn
㐂	xǐ
㐄	kuà
㐅	wǔ
㐆	yǐn_yī
㐇	jiǔ
㐈	rù
㐉	dīng
㐊	shì
㐋	tǔ
㐌	sì_yí_tā
㐍	zhǎo
㐎	wén
㐏	wǔ
㐐	nú
㐑	dōng
㐒	zhào
㐓	kě
㐔	xiǎng
㐖	yè
㐗	lǎo
㐘	mǐ
㐙	dòu
㐚	wú
㐛	yòu
㐜	chóu
㐝	jū
㐞	qí
㐟	fēi
㐡	nuò
㐢	fú
㐣	kù
㐤	qiú
㐥	chú
㐦	jǔ
㐨	xù
㐩	xíng
㐫	xiōng
㐬	liú
㐭	lǐn
㐮	xiāng
㐯	yōng
㐰	xìn
㐱	zhěn
㐲	dài_fú
㐳	wù
㐴	pān
㐵	rú
㐷	mǎ_mà_mián
㐸	qiàn_cì
㐹	yì
㐺	zhòng_yín
㐻	nèi
㐼	chèng_zhěng
㐽	fēng
㐾	ruǎn_yuàn
㑀	tài
㑁	zhuō
㑂	fǎng_páng
㑃	ǎo
㑄	wǔ
㑅	zuò
㑈	dòng
㑉	sù
㑊	yì
㑋	jiòng_kǒng_qióng
㑌	wāng_kuāng
㑍	lěi_lèi
㑎	nǎo
㑏	zhù
㑐	shū
㑑	lǎn_jì
㑔	xǔ
㑗	shēn
㑘	jiè
㑙	dié_yǒng
㑚	nuó
㑛	sù
㑜	yì_chì
㑝	lòng
㑞	yìng
㑟	běng_bó_pěng
㑣	lán
㑤	miáo
㑥	yì
㑦	lì
㑧	jì
㑨	yǔ
㑩	luó
㑪	chái
㑮	hún_wén
㑯	xǔ
㑰	huì
㑱	rǎo
㑵	hàn_jí_jié_zhǎ_zí
㑶	xì
㑷	tài
㑸	ǎi_yáo_yóu
㑹	huì
㑺	jùn
㑻	mà
㑼	lüè
㑽	táng
㑾	xiáo_yáo
㑿	zhào
㒀	zhǎ_zhāi
㒁	yǔ_yùn
㒂	kù_zhuó
㒃	èr
㒄	nàng_nèn_rǎn
㒅	qǐ
㒆	chì_kè_xì_xiào_yàn
㒇	mù_wǔ
㒈	hàn
㒉	tǎng
㒊	sè
㒌	qióng
㒍	léi_lěi
㒎	sǎ_sà_tàn
㒐	xùn
㒑	huì_kuǐ
㒒	pú
㒓	tà
㒔	shǔ_dú_shú_tù
㒕	yāng
㒖	ǒu
㒗	tái
㒙	mián
㒚	wěn_yìn
㒛	diào
㒜	yú_yǔ
㒝	miè_wà
㒞	jùn_kě
㒟	niǎo
㒠	xiè
㒡	yóu
㒤	shè_chè
㒥	fēng
㒦	lěi_lèi
㒧	lì
㒩	luǒ
㒫	jì
㒰	quán
㒱	mèng
㒲	cái
㒳	liǎng
㒴	gǔ
㒵	mào
㒷	guǎ_xìng_xǔ
㒸	suì_xuán
㒹	diān
㒻	mào
㒼	mán
㒽	quān
㒾	shì
㒿	lí
㓁	wǎng
㓂	kòu
㓃	chuí_dù_zhà
㓄	zhèn
㓅	tīng
㓈	bèi_bìng_fèi_yè
㓉	huàn_huó_huò
㓊	dòng
㓋	gòng
㓌	chēng
㓎	qīn_qǐn_qìn
㓏	jiǒng
㓐	lù
㓑	xìng
㓓	nán
㓔	xiè
㓖	bì_bié
㓗	jié_qǐ
㓘	sù
㓚	gōng
㓜	yòu
㓝	xíng
㓞	qì_qià_yáo
㓟	pí
㓠	diàn_diǎn
㓡	fǔ_fǒu_guā
㓢	luò
㓣	qià_gē
㓤	jié_qià
㓥	tāng
㓦	bāi
㓧	yǎn_gān
㓨	cí_cì
㓩	jiē_xuān
㓪	lǎng
㓭	hé_shé
㓯	lí
㓰	huà
㓱	tóu_shū
㓲	piàn_piān
㓳	dī
㓴	jùn_ruǎn
㓵	è
㓶	qiè
㓷	yì
㓸	jué_zhuó_dōu_zhuō
㓹	ruì_cuì_jì
㓺	jiàn_jiān_qián
㓼	chì_chòng
㓽	chóng
㓾	chí_xī
㔀	lüè_qíng
㔁	dēng
㔂	lín
㔃	jué_pì_xuē
㔄	sù
㔅	xiào
㔆	zàn
㔇	pō
㔉	zhú_zhǔ
㔊	dǎn_zhǎn
㔋	jiàn_lán_làn_jiān
㔌	zhòu_cǒu_zòu
㔍	duǒ_zhá_chuā
㔎	xiè_yì
㔏	lì_luǒ
㔑	chì_dào_qì_shuì
㔒	xí
㔓	jiǎn_xiàn
㔕	jí_yì
㔖	jiā
㔗	fèi_bèi_fú
㔘	chù
㔙	bǎng_péng_bēng
㔚	kǒu_jié
㔛	jié
㔜	bá_bó
㔝	liǎng_liáng
㔞	kuài_kuàng_wàng
㔠	hé_jiá_xiā
㔡	biē
㔢	jué_xuē
㔣	léi_lèi
㔤	shěn_xìn
㔥	pí_bài
㔦	yǎng
㔧	xuè_lǜ
㔨	bèi
㔩	è
㔪	lǔ
㔭	chè_chí_yí
㔮	nuó
㔯	suǎn_xuán
㔰	héng
㔱	yǔ
㔳	guǐ_gùn_huán_jué
㔴	yì
㔵	xiàn_xuǎn
㔶	gòng_gǎn
㔷	lòu
㔸	tī
㔹	lè
㔺	shì
㔻	pī
㔼	sǔn
㔽	yào_yǒu
㔾	jié
㔿	zòu
㕁	què
㕂	yín_qín
㕃	xī
㕄	zhì_zhǐ
㕅	jiǎ_jiá
㕆	hù
㕇	lá_lā
㕈	hòu_yǐ
㕉	kè
㕊	fū
㕋	jìng_qín
㕌	ài
㕎	è_kè_kǔn
㕏	chú
㕐	xiě_xiè
㕑	chú
㕒	wéi_wěi_wēi
㕕	huàn
㕖	sù
㕗	yòu
㕘	cān
㕙	jùn_ruì
㕚	zhǎo
㕛	xù_yǒu_yòu
㕜	shǐ
㕞	shuā
㕟	kuì_kuài
㕠	shuāng
㕡	hé_hè_huò
㕢	gài_hài_jù_lǔn_nǒu
㕣	yǎn_yàn
㕤	qiú
㕥	yǐ_shēn
㕦	huà
㕧	xī
㕨	fàn
㕩	zhàng_pàng
㕪	dǎn
㕫	fǎng_fēng
㕬	sòng_gōng
㕭	ào_bì
㕮	fǔ_tiào
㕯	nè
㕰	hè_ma_xuè
㕱	yóu
㕲	huá_yíng
㕴	chén
㕵	guó_hún_luǒ
㕶	ň_ňg
㕷	huà_pā_piā
㕸	lì
㕹	fá
㕺	háo_xiāo
㕻	tòu_pǒu
㕽	sì
㕾	xiǎo
㖀	lè_luò
㖁	lìn
㖂	yì
㖃	hǒu_hòu
㖄	zhōu_zhù
㖅	xù
㖆	qú_qǔ
㖇	ér
㖊	xún
㖏	nèi_niè
㖐	wěi
㖑	xiè
㖒	tí
㖓	hóng
㖔	tǔn
㖕	bò_niè_xīn
㖖	niè
㖗	yín
㖘	zhēn
㖜	xiǎng
㖟	shòu
㖠	bà_nuò
㖡	yè
㖢	jí_qí
㖣	tòu
㖤	hán
㖥	jiǒng_jùn
㖦	dǒng
㖧	wěn_hūn
㖨	lù
㖩	sǒu_jū
㖪	guó_huò_xù
㖫	líng
㖭	tiǎn
㖮	lún
